Lead_ID,Lead_Date,Region,City,Salesperson,Customer_Segment,Lead_Source,Lead_Quality_Score,Lead_Cost_INR,Follow_ups,Converted,Conversion_Date,Days_to_Convert,Lost_Reason
LEAD000001,2024-01-01,North,Jaipur,Priya Verma,SME,Corporate Outreach,66,317.47,2,Yes,2024-01-09,8,
LEAD000002,2024-01-01,South,Bengaluru,Isha Reddy,Individual,Organic Search,42,98.75,5,No,,,Price Too High
LEAD000003,2024-01-01,South,Bengaluru,Sneha Rao,Individual,Organic Search,55,94.98,2,No,,,No Response
LEAD000004,2024-01-01,West,Mumbai,Rohan Mehta,SME,Corporate Outreach,69,297.51,4,Yes,2024-01-09,8,
LEAD000005,2024-01-01,South,Bengaluru,Sneha Rao,Individual,Organic Search,73,76.64,1,Yes,2024-01-22,21,
LEAD000006,2024-01-01,West,Mumbai,Meera Joshi,Individual,Organic Search,50,83.53,1,No,,,Competitor Chosen
LEAD000007,2024-01-01,West,Ahmedabad,Meera Joshi,Individual,Google Ads,49,619.85,2,Yes,2024-01-04,3,
LEAD000008,2024-01-01,East,Kolkata,Neha Das,Corporate,Corporate Outreach,56,315.84,5,No,,,Budget Delayed
LEAD000009,2024-01-01,West,Pune,Rohan Mehta,Individual,Marketplace,58,186.58,6,No,,,Competitor Chosen
LEAD000010,2024-01-02,North,Delhi,Aarav Sharma,Individual,Google Ads,49,693.50,4,No,,,Price Too High
LEAD000011,2024-01-02,West,Pune,Dev Patel,Individual,Paid Social,71,391.78,1,Yes,2024-01-15,13,
LEAD000012,2024-01-02,North,Lucknow,Karan Malhotra,Individual,Google Ads,73,712.63,5,No,,,Price Too High
LEAD000013,2024-01-02,North,Lucknow,Aarav Sharma,Individual,Organic Search,60,103.00,1,No,,,No Response
LEAD000014,2024-01-03,North,Delhi,Aarav Sharma,SME,Organic Search,35,88.76,4,Yes,2024-01-27,24,
LEAD000015,2024-01-03,East,Bhubaneswar,Vikram Sen,Individual,Organic Search,46,98.02,6,No,,,Not Ready Yet
LEAD000016,2024-01-03,North,Lucknow,Karan Malhotra,Individual,Walk-in,46,48.22,5,No,,,Not Ready Yet
LEAD000017,2024-01-04,West,Mumbai,Meera Joshi,Individual,Marketplace,71,168.37,2,Yes,2024-01-17,13,
LEAD000018,2024-01-04,West,Pune,Meera Joshi,SME,Referral,88,120.46,3,Yes,2024-01-06,2,
LEAD000019,2024-01-04,West,Ahmedabad,Meera Joshi,Individual,Referral,79,124.70,4,Yes,2024-01-07,3,
LEAD000020,2024-01-04,North,Jaipur,Priya Verma,Individual,Referral,74,112.47,1,Yes,2024-01-12,8,
LEAD000021,2024-01-05,West,Ahmedabad,Meera Joshi,Individual,Marketplace,52,193.91,3,Yes,2024-01-12,7,
LEAD000022,2024-01-05,West,Ahmedabad,Dev Patel,Individual,Paid Social,41,411.35,3,Yes,2024-01-28,23,
LEAD000023,2024-01-05,South,Chennai,Sneha Rao,Individual,Referral,70,133.56,4,Yes,2024-01-07,2,
LEAD000024,2024-01-06,West,Pune,Meera Joshi,SME,Paid Social,61,477.90,3,No,,,Not Ready Yet
LEAD000025,2024-01-06,North,Delhi,Karan Malhotra,Corporate,Corporate Outreach,50,239.12,1,Yes,2024-02-08,33,
LEAD000026,2024-01-06,South,Hyderabad,Arjun Nair,SME,Corporate Outreach,43,306.30,4,No,,,No Response
LEAD000027,2024-01-06,South,Chennai,Isha Reddy,Individual,Walk-in,64,52.94,1,Yes,2024-01-20,14,
LEAD000028,2024-01-06,North,Delhi,Priya Verma,Individual,Referral,70,105.10,2,Yes,2024-01-17,11,
LEAD000029,2024-01-07,South,Bengaluru,Arjun Nair,Individual,Organic Search,71,88.64,4,No,,,Price Too High
LEAD000030,2024-01-07,North,Delhi,Priya Verma,Individual,Organic Search,77,102.95,4,Yes,2024-01-31,24,
LEAD000031,2024-01-07,South,Chennai,Isha Reddy,SME,Corporate Outreach,72,295.01,6,No,,,Competitor Chosen
LEAD000032,2024-01-07,South,Hyderabad,Isha Reddy,Individual,Organic Search,61,100.61,5,No,,,Price Too High
LEAD000033,2024-01-07,West,Pune,Meera Joshi,Individual,Referral,50,118.89,2,Yes,2024-01-19,12,
LEAD000034,2024-01-07,West,Pune,Dev Patel,SME,Google Ads,63,551.40,6,No,,,Competitor Chosen
LEAD000035,2024-01-07,West,Pune,Meera Joshi,SME,Walk-in,55,46.74,2,No,,,Competitor Chosen
LEAD000036,2024-01-08,South,Chennai,Sneha Rao,Individual,Organic Search,31,89.83,4,No,,,Not Ready Yet
LEAD000037,2024-01-08,North,Jaipur,Aarav Sharma,Individual,Google Ads,53,538.84,5,No,,,Price Too High
LEAD000038,2024-01-08,West,Pune,Rohan Mehta,Individual,Paid Social,44,464.84,3,No,,,Budget Delayed
LEAD000039,2024-01-08,West,Ahmedabad,Dev Patel,SME,Referral,69,129.21,4,No,,,Not Ready Yet
LEAD000040,2024-01-08,East,Bhubaneswar,Kavya Roy,SME,Corporate Outreach,60,252.03,1,No,,,No Response
LEAD000041,2024-01-08,North,Delhi,Priya Verma,Individual,Google Ads,41,594.66,1,No,,,Price Too High
LEAD000042,2024-01-08,South,Bengaluru,Sneha Rao,Individual,Paid Social,59,426.60,2,No,,,Budget Delayed
LEAD000043,2024-01-09,North,Delhi,Priya Verma,Individual,Walk-in,43,54.31,4,Yes,2024-01-22,13,
LEAD000044,2024-01-09,North,Delhi,Priya Verma,SME,Corporate Outreach,75,317.27,3,Yes,2024-02-01,23,
LEAD000045,2024-01-09,West,Ahmedabad,Dev Patel,SME,Corporate Outreach,69,271.03,2,No,,,No Response
LEAD000046,2024-01-10,North,Lucknow,Aarav Sharma,SME,Organic Search,64,100.15,6,No,,,Budget Delayed
LEAD000047,2024-01-10,East,Kolkata,Kavya Roy,Individual,Marketplace,55,212.81,3,Yes,2024-01-24,14,
LEAD000048,2024-01-10,South,Bengaluru,Arjun Nair,Individual,Organic Search,45,95.33,5,No,,,Competitor Chosen
LEAD000049,2024-01-10,East,Bhubaneswar,Neha Das,SME,Corporate Outreach,74,281.72,2,Yes,2024-02-04,25,
LEAD000050,2024-01-10,West,Mumbai,Dev Patel,Individual,Paid Social,62,480.35,2,No,,,Price Too High
LEAD000051,2024-01-10,West,Mumbai,Meera Joshi,SME,Corporate Outreach,62,248.40,3,Yes,2024-02-01,22,
LEAD000052,2024-01-10,South,Chennai,Arjun Nair,Individual,Walk-in,61,47.76,2,Yes,2024-01-14,4,
LEAD000053,2024-01-11,North,Lucknow,Karan Malhotra,Individual,Organic Search,40,98.72,2,Yes,2024-01-29,18,
LEAD000054,2024-01-11,West,Mumbai,Dev Patel,Individual,Paid Social,70,426.94,2,Yes,2024-01-26,15,
LEAD000055,2024-01-11,West,Mumbai,Dev Patel,Individual,Paid Social,58,422.27,6,No,,,No Response
LEAD000056,2024-01-11,East,Kolkata,Neha Das,SME,Organic Search,28,79.99,4,Yes,2024-02-04,24,
LEAD000057,2024-01-11,South,Chennai,Sneha Rao,Individual,Paid Social,61,418.21,1,No,,,Competitor Chosen
LEAD000058,2024-01-11,North,Jaipur,Aarav Sharma,Individual,Organic Search,59,84.44,3,Yes,2024-01-24,13,
LEAD000059,2024-01-11,North,Delhi,Karan Malhotra,Individual,Marketplace,53,161.62,4,Yes,2024-01-23,12,
LEAD000060,2024-01-12,West,Mumbai,Rohan Mehta,Individual,Paid Social,64,426.80,3,No,,,Budget Delayed
LEAD000061,2024-01-12,South,Hyderabad,Sneha Rao,Individual,Paid Social,37,446.10,3,No,,,Price Too High
LEAD000062,2024-01-12,South,Hyderabad,Arjun Nair,Individual,Organic Search,63,93.94,4,No,,,Budget Delayed
LEAD000063,2024-01-12,South,Chennai,Isha Reddy,Individual,Walk-in,50,51.78,1,No,,,Price Too High
LEAD000064,2024-01-12,South,Bengaluru,Isha Reddy,Individual,Walk-in,78,52.37,1,Yes,2024-01-13,1,
LEAD000065,2024-01-12,West,Ahmedabad,Meera Joshi,SME,Google Ads,49,601.73,3,Yes,2024-01-31,19,
LEAD000066,2024-01-12,North,Lucknow,Aarav Sharma,Individual,Organic Search,27,86.81,3,Yes,2024-01-30,18,
LEAD000067,2024-01-13,North,Lucknow,Karan Malhotra,Individual,Organic Search,57,78.09,2,Yes,2024-01-28,15,
LEAD000068,2024-01-13,East,Kolkata,Kavya Roy,Individual,Google Ads,64,574.98,3,Yes,2024-01-28,15,
LEAD000069,2024-01-14,East,Guwahati,Vikram Sen,Individual,Walk-in,43,46.54,4,No,,,Not Ready Yet
LEAD000070,2024-01-14,West,Pune,Rohan Mehta,Individual,Google Ads,49,630.06,3,Yes,2024-01-16,2,
LEAD000071,2024-01-14,South,Bengaluru,Isha Reddy,Individual,Organic Search,43,102.63,5,No,,,Price Too High
LEAD000072,2024-01-14,West,Ahmedabad,Rohan Mehta,Individual,Paid Social,46,470.33,4,No,,,Price Too High
LEAD000073,2024-01-15,East,Bhubaneswar,Kavya Roy,Corporate,Corporate Outreach,73,267.52,6,No,,,No Response
LEAD000074,2024-01-15,South,Hyderabad,Isha Reddy,Individual,Organic Search,51,87.17,1,No,,,No Response
LEAD000075,2024-01-15,North,Delhi,Karan Malhotra,Corporate,Google Ads,62,645.14,6,No,,,Not Ready Yet
LEAD000076,2024-01-15,East,Bhubaneswar,Neha Das,Individual,Marketplace,75,162.40,3,Yes,2024-01-23,8,
LEAD000077,2024-01-15,South,Hyderabad,Sneha Rao,Individual,Organic Search,67,97.09,4,Yes,2024-02-08,24,
LEAD000078,2024-01-15,West,Ahmedabad,Dev Patel,Individual,Paid Social,53,381.42,6,No,,,No Response
LEAD000079,2024-01-16,East,Kolkata,Kavya Roy,Individual,Organic Search,60,101.78,3,Yes,2024-02-01,16,
LEAD000080,2024-01-16,West,Mumbai,Rohan Mehta,SME,Walk-in,34,51.70,2,No,,,Price Too High
LEAD000081,2024-01-17,West,Pune,Rohan Mehta,Corporate,Walk-in,75,45.44,1,Yes,2024-02-07,21,
LEAD000082,2024-01-17,South,Hyderabad,Arjun Nair,Individual,Paid Social,57,452.21,6,No,,,Budget Delayed
LEAD000083,2024-01-17,South,Bengaluru,Isha Reddy,Individual,Organic Search,56,81.68,3,Yes,2024-02-04,18,
LEAD000084,2024-01-17,South,Chennai,Isha Reddy,Individual,Referral,85,135.76,1,Yes,2024-01-25,8,
LEAD000085,2024-01-17,South,Chennai,Sneha Rao,SME,Google Ads,66,619.18,4,Yes,2024-02-04,18,
LEAD000086,2024-01-17,West,Mumbai,Dev Patel,Individual,Google Ads,45,599.89,4,No,,,No Response
LEAD000087,2024-01-18,West,Ahmedabad,Rohan Mehta,Corporate,Corporate Outreach,44,264.11,2,No,,,Price Too High
LEAD000088,2024-01-18,South,Bengaluru,Arjun Nair,Individual,Organic Search,22,83.17,3,No,,,Budget Delayed
LEAD000089,2024-01-19,West,Ahmedabad,Rohan Mehta,SME,Referral,66,124.51,1,Yes,2024-01-27,8,
LEAD000090,2024-01-19,South,Bengaluru,Sneha Rao,Corporate,Corporate Outreach,63,248.71,6,No,,,Price Too High
LEAD000091,2024-01-19,East,Kolkata,Neha Das,Individual,Paid Social,57,377.86,4,Yes,2024-02-02,14,
LEAD000092,2024-01-19,South,Bengaluru,Isha Reddy,SME,Walk-in,61,55.70,4,Yes,2024-01-27,8,
LEAD000093,2024-01-19,South,Hyderabad,Isha Reddy,SME,Paid Social,48,441.98,1,Yes,2024-02-09,21,
LEAD000094,2024-01-20,South,Chennai,Sneha Rao,Individual,Google Ads,66,561.58,4,Yes,2024-02-14,25,
LEAD000095,2024-01-20,North,Delhi,Aarav Sharma,Individual,Paid Social,77,384.52,2,Yes,2024-02-08,19,
LEAD000096,2024-01-20,West,Mumbai,Meera Joshi,Corporate,Corporate Outreach,51,280.60,2,No,,,Price Too High
LEAD000097,2024-01-21,South,Chennai,Arjun Nair,Individual,Marketplace,51,201.10,4,Yes,2024-01-25,4,
LEAD000098,2024-01-21,East,Bhubaneswar,Neha Das,SME,Referral,58,113.83,4,Yes,2024-01-26,5,
LEAD000099,2024-01-22,North,Lucknow,Aarav Sharma,Individual,Marketplace,43,203.37,2,No,,,Price Too High
LEAD000100,2024-01-23,East,Kolkata,Kavya Roy,Individual,Google Ads,40,540.71,1,No,,,No Response
LEAD000101,2024-01-23,North,Delhi,Priya Verma,Individual,Referral,78,108.27,2,No,,,Price Too High
LEAD000102,2024-01-23,East,Bhubaneswar,Neha Das,SME,Google Ads,50,696.38,3,Yes,2024-01-30,7,
LEAD000103,2024-01-23,North,Jaipur,Priya Verma,Individual,Marketplace,52,199.17,3,Yes,2024-01-29,6,
LEAD000104,2024-01-23,East,Guwahati,Kavya Roy,SME,Corporate Outreach,66,304.77,2,Yes,2024-01-29,6,
LEAD000105,2024-01-23,North,Delhi,Priya Verma,Individual,Paid Social,30,434.58,5,No,,,Price Too High
LEAD000106,2024-01-23,South,Bengaluru,Sneha Rao,Individual,Google Ads,32,565.92,4,Yes,2024-02-10,18,
LEAD000107,2024-01-24,North,Jaipur,Karan Malhotra,Individual,Organic Search,34,89.04,3,No,,,No Response
LEAD000108,2024-01-24,West,Mumbai,Dev Patel,Individual,Marketplace,78,197.87,4,Yes,2024-02-03,10,
LEAD000109,2024-01-24,South,Hyderabad,Sneha Rao,Individual,Organic Search,67,101.76,2,Yes,2024-02-07,14,
LEAD000110,2024-01-24,West,Pune,Rohan Mehta,SME,Google Ads,46,613.54,2,No,,,Competitor Chosen
LEAD000111,2024-01-24,South,Hyderabad,Arjun Nair,Individual,Google Ads,46,576.41,2,Yes,2024-02-09,16,
LEAD000112,2024-01-24,North,Lucknow,Priya Verma,SME,Referral,66,135.36,3,Yes,2024-02-06,13,
LEAD000113,2024-01-24,North,Delhi,Aarav Sharma,Individual,Google Ads,52,562.46,6,No,,,Budget Delayed
LEAD000114,2024-01-24,South,Bengaluru,Isha Reddy,SME,Corporate Outreach,47,307.07,3,Yes,2024-02-04,11,
LEAD000115,2024-01-25,South,Hyderabad,Arjun Nair,SME,Marketplace,79,174.47,2,No,,,Not Ready Yet
LEAD000116,2024-01-25,South,Bengaluru,Sneha Rao,Individual,Walk-in,59,47.61,6,No,,,Budget Delayed
LEAD000117,2024-01-25,North,Lucknow,Priya Verma,SME,Walk-in,62,51.16,2,Yes,2024-01-31,6,
LEAD000118,2024-01-26,North,Lucknow,Aarav Sharma,Individual,Referral,81,117.33,4,Yes,2024-01-30,4,
LEAD000119,2024-01-26,South,Chennai,Isha Reddy,Individual,Google Ads,84,711.93,2,No,,,Not Ready Yet
LEAD000120,2024-01-26,West,Ahmedabad,Dev Patel,Individual,Google Ads,61,626.42,1,Yes,2024-02-09,14,
LEAD000121,2024-01-26,North,Delhi,Karan Malhotra,Corporate,Referral,62,126.80,2,No,,,Price Too High
LEAD000122,2024-01-26,West,Mumbai,Rohan Mehta,Corporate,Corporate Outreach,66,282.05,6,Yes,2024-02-21,26,
LEAD000123,2024-01-27,West,Mumbai,Rohan Mehta,Individual,Marketplace,50,188.76,4,Yes,2024-02-05,9,
LEAD000124,2024-01-27,North,Lucknow,Aarav Sharma,Individual,Organic Search,62,80.79,4,Yes,2024-02-20,24,
LEAD000125,2024-01-27,South,Bengaluru,Sneha Rao,Individual,Referral,65,123.77,4,Yes,2024-01-29,2,
LEAD000126,2024-01-27,North,Delhi,Karan Malhotra,SME,Paid Social,54,448.87,6,No,,,Price Too High
LEAD000127,2024-01-28,East,Kolkata,Kavya Roy,SME,Paid Social,66,460.09,2,No,,,Not Ready Yet
LEAD000128,2024-01-28,West,Ahmedabad,Rohan Mehta,Individual,Organic Search,31,100.00,1,No,,,Price Too High
LEAD000129,2024-01-28,North,Jaipur,Priya Verma,Individual,Organic Search,53,91.43,4,No,,,Not Ready Yet
